Data,Categoria,Quantidade_Vendida,Preco_Unitario,Valor_Total
2023-04-13,Roupas,74,60.43,4471.82
2023-12-15,Alimentos,83,272.88,22649.04
2023-09-28,Roupas,17,195.62,3325.54
2023-04-17,Roupas,85,233.93,19884.05
2023-03-13,Roupas,78,305.94,23863.32
2023-07-08,Eletrônicos,73,256.12,18696.760000000002
2023-01-21,Eletrônicos,1,274.53,274.53
2023-04-13,Eletrônicos,51,248.32,12664.32
2023-05-02,Alimentos,45,210.39,9467.55
2023-08-03,Brinquedos,77,388.22,29892.940000000002
2023-11-27,Roupas,4,15.98,63.92
2023-03-29,Roupas,62,303.24,18800.88
2023-04-10,Alimentos,65,287.1,18661.5
2023-12-26,Roupas,32,360.93,11549.76
2023-06-01,Eletrônicos,34,303.52,10319.68
2023-05-11,Brinquedos,92,415.13,38191.96
2023-05-30,Livros,95,479.95,45595.25
2023-11-05,Roupas,72,177.84,12804.48
2023-09-15,Eletrônicos,39,121.4,4734.6
2023-12-10,Livros,26,217.56,5656.56
2023-10-21,Brinquedos,34,151.09,5137.06
2023-07-11,Livros,54,311.33,16811.82
2023-10-04,Eletrônicos,3,456.81,1370.43
2023-06-10,Livros,50,78.17,3908.5
2023-11-10,Alimentos,12,59.39,712.6800000000001
2023-01-22,Livros,65,135.45,8804.25
2023-09-10,Roupas,54,365.79,19752.66
2023-08-24,Roupas,5,300.55,1502.75
2023-12-11,Alimentos,94,60.08,5647.5199999999995
2023-02-18,Eletrônicos,94,460.19,43257.86
2023-02-28,Roupas,57,397.14,22636.98
2023-06-19,Brinquedos,17,21.28,361.76
2023-07-07,Roupas,47,329.17,15470.990000000002
2023-09-28,Roupas,23,387.91,8921.93
2023-07-09,Eletrônicos,79,193.47,15284.13
2023-06-24,Livros,85,43.77,3720.4500000000003
2023-02-20,Roupas,14,47.89,670.46
2023-12-30,Alimentos,66,61.08,4031.2799999999997
2023-02-24,Livros,75,421.82,31636.5
2023-09-01,Brinquedos,51,456.24,23268.24
2023-11-16,Eletrônicos,38,70.18,2666.84
2023-05-11,Brinquedos,64,125.59,8037.76
2023-11-03,Livros,98,91.11,8928.78
2023-05-15,Livros,38,101.3,3849.4
2023-01-21,Livros,50,420.37,21018.5
2023-11-25,Brinquedos,98,172.75,16929.5
2023-06-16,Livros,82,162.61,13334.02
2023-10-01,Brinquedos,30,121.42,3642.6
2023-03-30,Livros,79,307.87,24321.73
2023-11-12,Alimentos,91,195.86,17823.260000000002
2023-01-14,Livros,51,374.68,19108.68
2023-08-30,Brinquedos,63,110.73,6975.990000000001
2023-09-22,Roupas,98,396.02,38809.96
2023-12-12,Livros,52,305.82,15902.64
2023-02-22,Roupas,38,65.99,2507.62
2023-12-06,Alimentos,97,213.11,20671.670000000002
2023-04-02,Eletrônicos,88,433.12,38114.56
2023-09-21,Alimentos,79,462.25,36517.75
2023-02-04,Livros,30,238.19,7145.7
2023-07-25,Roupas,51,245.61,12526.11
2023-03-22,Roupas,81,460.04,37263.240000000005
2023-02-19,Brinquedos,5,297.66,1488.3000000000002
2023-12-26,Roupas,29,26.09,756.61
2023-01-02,Brinquedos,4,457.25,1829.0
2023-02-23,Eletrônicos,10,131.63,1316.3
2023-04-16,Livros,56,293.04,16410.24
2023-09-17,Brinquedos,17,91.1,1548.6999999999998
2023-11-06,Eletrônicos,74,26.6,1968.4
2023-07-10,Roupas,17,162.62,2764.54
2023-08-06,Roupas,84,392.44,32964.96
2023-02-13,Eletrônicos,88,146.02,12849.76
2023-06-11,Roupas,69,117.85,8131.65
2023-07-21,Eletrônicos,34,114.21,3883.14
2023-09-27,Brinquedos,6,262.44,1574.6399999999999
2023-12-17,Brinquedos,53,488.02,25865.059999999998
2023-10-31,Eletrônicos,66,234.9,15503.4
2023-09-28,Brinquedos,77,283.08,21797.16
2023-08-03,Brinquedos,43,431.71,18563.53
2023-09-09,Brinquedos,75,272.18,20413.5
2023-07-09,Alimentos,23,100.39,2308.97
