COD_CLIENTE;CLIENTE;PORTFOLIO;DATAPOS;CATEGORIA;CODIGO;PAPEL;DATACOMPRA;DATAEMISSAO;DATAVCTO;EMISSOR;QTDE_DISP;QTDE_BLOQ;QTDE_TOTAL;PRECO_CUSTO;PRECO;CUSTO_TOTAL;RESULTADO;VALOR_MERC_BRUTO;IRRF;VALOR_MERC_LIQUIDO;AJUSTE_FUT_SWAP;CONTRAPARTE;CUSTODIANTE;CORRETORA;TIPO;PRECO_EXERCICIO;PRINCIPAL;BASE_ATIVO;PC_INDEX_ATIVO;INDEX_ATIVO;PC_TX_ATIVO;TAXA_MTM;CURVA_ATIVO;VALOR_ATIVO;GARANTIA_ATIVO;BASE_PASSIVO;PC_INDEX_PASSIVO;INDEX_PASSIVO;PC_TAXA_PASSIVO;TAXA_MTM_PASSIVO;CURVA_PASSIVO;VALOR_PASSIVO;GARANTIA_PASSIVO;TIT_ASSOC;CODIGO_OPER;VL_FUTURO_ATIVO;VL_FUTURO_PASSIVO;MTM_ACCRUAL;INDEX_ATIVO_PASSIVO;LASTRO;TAXA_OVER;PU_CURVA;TAXA_PAR;AGIO_DESAGIO;DATA_REPAC;VALOR_NOMINAL;TIR;COVERAGECCY;PATRIM_LIQUIDO
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;CUST0248;BRAD FIRF FEF ATU BD;;;;;94078365,71;0;94078365,71;0;6,04372983;0;568584225,2;568584225,2;0;568584225,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568583643,2
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;13/08/2024;CONTAS A PAGAR/RECEBER;158;Despesa de Custo CETIP com pagamento 06/09/24;;13/08/2024;06/09/2024;;;;;;;;;;;-834,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568583643,2
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;13/08/2024;TESOURARIA;;;;;;;;;;;;;;;;252,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568583643,2
CUST0024       ;NÉOS PREV. COMPLEMENTAR - PLANO BD BA;Carteira Própria;13/08/2024;PATRIMONIO LIQUIDO;;;;;;;419976,1369;;;;1353,8475;;;;;568583643,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;568583643,2
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;TFBB0010;ALM BD FIRF;;;;;21300225,91;0;21300225,91;0;40,26137705;0;857576426,7;857576426,7;0;857576426,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;TFML0901;ENNESA FIA;;;;;2433765,423;0;2433765,423;0;12,18034794;0;29644109,66;29644109,66;0;29644109,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;CUST0970;SULAM NEOS FIM CP;;;;;1325361,32;0;1325361,32;18,76959257;25,81673314;24876492;9340007,53;34216499,53;0;34216499,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;TFBS0725;FII PANAMBY;;;;;14975;0;14975;0;-25,20595222;0;-377459,13;-377459,13;0;-377459,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;TFBR0354;VINCI FI RF IMOBI II;;;;;100000;0;100000;11,2356857;119,1976775;1123568,57;10796199,18;11919767,75;0;11919767,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
CUST0106       ;NÉOS PREV. COMPLEMENTAR - PLANO BD PE;Carteira Própria;13/08/2024;COTAS DE FDOS DE INVESTIMENTOS;TFBV0001;FII GEO GUARARAPES;;;;;2516600;0;2516600;0,096588997;0,12726;243075,87;77186,65;320262,52;0;320262,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;933433216,3
